benchmark_id,benchmark_family,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,throughput_bytes_per_sec,compiled_instruction_count,binary_size_bytes
BM1,Small C-like lexer,coarse,coarse,off,B3,clang,clang_Os,-Os,same_A,completed,,166083671.98691598,17,29456
BM1,Small C-like lexer,coarse,coarse,off,B4,gcc,gcc_O2,-O2,same_A,completed,,178931799.31096226,26,29488
BM1,Small C-like lexer,coarse,coarse,off,B4,gcc,gcc_O3,-O3,same_A,completed,,208726955.653281,26,29416
BM1,Small C-like lexer,coarse,coarse,off,B4,gcc,gcc_Os,-Os,same_A,completed,,179129082.61183667,19,29448
BM1,Small C-like lexer,coarse,coarse,off,B4,clang,clang_O2,-O2,same_A,completed,,5745085106382.9795,20,29456
BM1,Small C-like lexer,coarse,coarse,off,B4,clang,clang_O3,-O3,same_A,completed,,5625395833333.333,20,29456
BM1,Small C-like lexer,coarse,coarse,off,B4,clang,clang_Os,-Os,same_A,completed,,181244160.32132998,20,29456
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,gcc,gcc_O2,-O2,same_A,completed,,178800281.557519,26,29488
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,gcc,gcc_O3,-O3,same_A,completed,,184413006.89519522,26,29416
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,gcc,gcc_Os,-Os,same_A,completed,,177655416.16800547,19,29448
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,clang,clang_O2,-O2,same_A,completed,,6000422222222.223,21,29456
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,clang,clang_O3,-O3,same_A,completed,,5869978260869.565,21,29456
BM1,Small C-like lexer,coarse,coarse,off,B5_TREE,clang,clang_Os,-Os,same_A,completed,,180976790.35448176,21,29456
BM1,Small C-like lexer,coarse,coarse,off,B5_DAG,gcc,gcc_O2,-O2,same_A,completed,,159386464.31912827,4,29696
BM1,Small C-like lexer,coarse,coarse,off,B5_DAG,gcc,gcc_O3,-O3,same_A,completed,,181268981.55482933,4,29632
BM1,Small C-like lexer,coarse,coarse,off,B5_DAG,gcc,gcc_Os,-Os,same_A,completed,,144070297.08939785,1,29656
