benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B5_TREE,gcc_Os,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,4659992.573240787
BM1,coarse,B5_TREE,clang_O2,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,960541897233.2021
BM1,coarse,B5_TREE,clang_O3,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,391710348162.4756
BM1,coarse,B5_TREE,clang_Os,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,-479754.0823199749
BM1,coarse,B5_DAG,gcc_O2,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,5512752.312399328
BM1,coarse,B5_DAG,gcc_O3,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,-13691254.551199228
BM1,coarse,B5_DAG,gcc_Os,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,5530789.752017379
BM1,coarse,B5_DAG,clang_O2,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,207706923076.92285
BM1,coarse,B5_DAG,clang_O3,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,-432722756410.25586
BM1,coarse,B5_DAG,clang_Os,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,5008811.719727337
BM1,operational,B1,gcc_O2,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,1771049.3843300343
BM1,operational,B1,gcc_O3,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,-3625526.381321639
BM1,operational,B1,gcc_Os,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,-10778540.857531577
BM1,operational,B1,clang_O2,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,-90915488215.48828
BM1,operational,B1,clang_O3,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,-944122377622.3779
BM1,operational,B1,clang_Os,same_A,operational_rb_off,operational_rb_on,1,4,0,0,0.0,0.0,0.0,-8113908.347111106
BM1,operational,B2,gcc_O2,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,-1159783.2603182197
BM1,operational,B2,gcc_O3,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,797767.4106233716
BM1,operational,B2,gcc_Os,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,-3678974.7789875567
BM1,operational,B2,clang_O2,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,-97974963715.53027
BM1,operational,B2,clang_O3,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,370905219780.2197
BM1,operational,B2,clang_Os,same_A,operational_rb_off,operational_rb_on,0,0,0,0,0.0,0.0,0.0,12239.068277418613
BM1,operational,B3,gcc_O2,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,2721565.441666484
BM1,operational,B3,gcc_O3,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,-1670471.342841208
BM1,operational,B3,gcc_Os,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,-2418719.2895912826
BM1,operational,B3,clang_O2,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,-199792082870.88477
BM1,operational,B3,clang_O3,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,432722756410.25586
BM1,operational,B3,clang_Os,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.7471566531974978,0.0,0.7471566531974976,-5391060.538954943
BM1,operational,B4,gcc_O2,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.501170101564816,0.6241633773811568,0.6241633773811568,25605182.632303447
BM1,operational,B4,gcc_O3,same_A,operational_rb_off,operational_rb_on,1,1,1,1,0.501170101564816,0.6241633773811568,0.6241633773811568,37340434.6304605
